Date,Client ID,Client Age,Client Gender,Service Type,Service Price CAD,Employee ID,Service Duration Minutes,Payment Method,Customer Booking Type,Customer Satisfaction Rating
3/23/2023,C1,47,Male,Gel Nails,CAD 128.62,E5,81,Credit Card,Walk-in,5
7/27/2023,C2,43,Female,Manicure,CAD 60.67,E12,109,Credit Card,Pre-booked,3
1/9/2023,C3,23,Male,Acrylic Nails,CAD 27.10,E14,80,Mobile Payment,Walk-in,5
6/2/2023,C4,60,Female,Manicure,CAD 35.54,E3,34,Credit Card,Walk-in,5
3/9/2023,C5,44,Male,Manicure,CAD 104.60,E5,51,Credit Card,Walk-in,2
7/14/2023,C6,21,Male,Acrylic Nails,CAD 27.19,E12,99,Cash,Walk-in,3
9/24/2023,C7,42,Female,Manicure,CAD 65.45,E15,40,Debit Card,Pre-booked,2
9/14/2023,C8,43,Male,Foot Massage,CAD 65.63,E13,117,Debit Card,Walk-in,3
5/5/2023,C9,55,Male,Gel Nails,CAD 51.20,E1,67,Cash,Walk-in,2
7/21/2023,C10,59,Male,Gel Nails,CAD 120.74,E1,43,Debit Card,Pre-booked,5
9/15/2023,C11,44,Male,Pedicure,CAD 129.39,E4,85,Debit Card,Walk-in,5
2/16/2023,C12,37,Female,Acrylic Nails,CAD 42.32,E4,114,Credit Card,Walk-in,2
6/17/2023,C13,32,Male,Nail Art,CAD 69.00,E2,113,Debit Card,Walk-in,1
2/6/2023,C14,29,Female,Nail Art,CAD 20.49,E12,91,Cash,Walk-in,2
10/10/2023,C15,25,Male,Acrylic Nails,CAD 120.91,E8,91,Cash,Walk-in,5
5/3/2023,C16,30,Male,Pedicure,CAD 73.81,E14,60,Cash,Walk-in,3
1/20/2023,C17,35,Male,Acrylic Nails,CAD 101.08,E8,109,Debit Card,Pre-booked,4
5/17/2023,C18,39,Female,Gel Nails,CAD 25.32,E2,51,Cash,Pre-booked,3
2/19/2023,C19,37,Male,Acrylic Nails,CAD 81.36,E7,38,Credit Card,Walk-in,4
1/31/2023,C20,20,Male,Acrylic Nails,CAD 99.65,E1,75,Cash,Pre-booked,3
3/3/2023,C21,41,Male,Foot Massage,CAD 43.66,E14,106,Debit Card,Walk-in,4
6/19/2023,C22,31,Male,Gel Nails,CAD 120.59,E9,47,Credit Card,Pre-booked,5
4/30/2023,C23,65,Male,Pedicure,CAD 90.29,E15,60,Debit Card,Walk-in,4
3/12/2023,C24,30,Female,Acrylic Nails,CAD 146.65,E5,52,Credit Card,Walk-in,4
6/11/2023,C25,27,Female,Gel Nails,CAD 68.70,E9,65,Credit Card,Walk-in,1
7/26/2023,C26,51,Female,Pedicure,CAD 67.67,E12,83,Credit Card,Pre-booked,5
1/25/2023,C27,63,Female,Gel Nails,CAD 74.96,E4,32,Debit Card,Pre-booked,3
2/2/2023,C28,36,Male,Acrylic Nails,CAD 61.79,E11,113,Cash,Pre-booked,5
8/25/2023,C29,36,Male,Manicure,CAD 37.59,E12,57,Mobile Payment,Pre-booked,1
5/16/2023,C30,38,Female,Nail Art,CAD 23.37,E8,78,Mobile Payment,Pre-booked,1
3/22/2023,C31,63,Female,Manicure,CAD 121.50,E1,108,Debit Card,Pre-booked,5
7/13/2023,C32,29,Male,Manicure,CAD 76.97,E3,39,Credit Card,Pre-booked,3
8/4/2023,C33,25,Male,Manicure,CAD 56.16,E3,63,Debit Card,Pre-booked,2
3/5/2023,C34,48,Male,Nail Art,CAD 46.90,E12,76,Debit Card,Pre-booked,2
10/12/2023,C35,54,Female,Foot Massage,CAD 51.59,E1,31,Mobile Payment,Pre-booked,1
12/24/2023,C36,31,Female,Foot Massage,CAD 50.83,E3,85,Debit Card,Pre-booked,4
7/6/2023,C37,51,Female,Foot Massage,CAD 146.72,E13,60,Debit Card,Walk-in,5
7/24/2023,C38,30,Male,Foot Massage,CAD 69.03,E5,118,Mobile Payment,Walk-in,1
1/5/2023,C39,39,Male,Acrylic Nails,CAD 52.39,E9,93,Mobile Payment,Walk-in,3
1/30/2023,C40,23,Female,Pedicure,CAD 64.86,E6,40,Mobile Payment,Walk-in,2
11/21/2023,C41,45,Female,Nail Art,CAD 115.31,E8,69,Debit Card,Pre-booked,3
